,[4. 4. 4. 4. 4.],[5. 4. 4. 4. 3.],[5. 5. 4. 3. 3.],[5. 5. 4. 4. 2.],[5. 5. 5. 3. 2.],[5. 5. 5. 4. 1.],[5. 5. 5. 5. 0.],[6. 4. 4. 3. 3.],[6. 4. 4. 4. 2.],[6. 5. 3. 3. 3.],[6. 5. 4. 3. 2.],[6. 5. 4. 4. 1.],[6. 5. 5. 2. 2.],[6. 5. 5. 3. 1.],[6. 5. 5. 4. 0.],[6. 6. 3. 3. 2.],[6. 6. 4. 2. 2.],[6. 6. 4. 3. 1.],[6. 6. 4. 4. 0.],[6. 6. 5. 2. 1.],[6. 6. 5. 3. 0.],[6. 6. 6. 1. 1.],[6. 6. 6. 2. 0.],[7. 4. 3. 3. 3.],[7. 4. 4. 3. 2.],[7. 4. 4. 4. 1.],[7. 5. 3. 3. 2.],[7. 5. 4. 2. 2.],[7. 5. 4. 3. 1.],[7. 5. 4. 4. 0.],[7. 5. 5. 2. 1.],[7. 5. 5. 3. 0.],[7. 6. 3. 2. 2.],[7. 6. 3. 3. 1.],[7. 6. 4. 2. 1.],[7. 6. 4. 3. 0.],[7. 6. 5. 1. 1.],[7. 6. 5. 2. 0.],[7. 6. 6. 1. 0.],[7. 7. 2. 2. 2.],[7. 7. 3. 2. 1.],[7. 7. 3. 3. 0.],[7. 7. 4. 1. 1.],[7. 7. 4. 2. 0.],[7. 7. 5. 1. 0.],[7. 7. 6. 0. 0.],[8. 3. 3. 3. 3.],[8. 4. 3. 3. 2.],[8. 4. 4. 2. 2.],[8. 4. 4. 3. 1.],[8. 4. 4. 4. 0.],[8. 5. 3. 2. 2.],[8. 5. 3. 3. 1.],[8. 5. 4. 2. 1.],[8. 5. 4. 3. 0.],[8. 5. 5. 1. 1.],[8. 5. 5. 2. 0.],[8. 6. 2. 2. 2.],[8. 6. 3. 2. 1.],[8. 6. 3. 3. 0.],[8. 6. 4. 1. 1.],[8. 6. 4. 2. 0.],[8. 6. 5. 1. 0.],[8. 6. 6. 0. 0.],[8. 7. 2. 2. 1.],[8. 7. 3. 1. 1.],[8. 7. 3. 2. 0.],[8. 7. 4. 1. 0.],[8. 7. 5. 0. 0.],[8. 8. 2. 1. 1.],[8. 8. 2. 2. 0.],[8. 8. 3. 1. 0.],[8. 8. 4. 0. 0.],[9. 3. 3. 3. 2.],[9. 4. 3. 2. 2.],[9. 4. 3. 3. 1.],[9. 4. 4. 2. 1.],[9. 4. 4. 3. 0.],[9. 5. 2. 2. 2.],[9. 5. 3. 2. 1.],[9. 5. 3. 3. 0.],[9. 5. 4. 1. 1.],[9. 5. 4. 2. 0.],[9. 5. 5. 1. 0.],[9. 6. 2. 2. 1.],[9. 6. 3. 1. 1.],[9. 6. 3. 2. 0.],[9. 6. 4. 1. 0.],[9. 6. 5. 0. 0.],[9. 7. 2. 1. 1.],[9. 7. 2. 2. 0.],[9. 7. 3. 1. 0.],[9. 7. 4. 0. 0.],[9. 8. 1. 1. 1.],[9. 8. 2. 1. 0.],[9. 8. 3. 0. 0.],[9. 9. 1. 1. 0.],[9. 9. 2. 0. 0.],[10.  3.  3.  2.  2.],[10.  3.  3.  3.  1.],[10.  4.  2.  2.  2.],[10.  4.  3.  2.  1.],[10.  4.  3.  3.  0.],[10.  4.  4.  1.  1.],[10.  4.  4.  2.  0.],[10.  5.  2.  2.  1.],[10.  5.  3.  1.  1.],[10.  5.  3.  2.  0.],[10.  5.  4.  1.  0.],[10.  5.  5.  0.  0.],[10.  6.  2.  1.  1.],[10.  6.  2.  2.  0.],[10.  6.  3.  1.  0.],[10.  6.  4.  0.  0.],[10.  7.  1.  1.  1.],[10.  7.  2.  1.  0.],[10.  7.  3.  0.  0.],[10.  8.  1.  1.  0.],[10.  8.  2.  0.  0.],[10.  9.  1.  0.  0.],[10. 10.  0.  0.  0.],[11.  3.  2.  2.  2.],[11.  3.  3.  2.  1.],[11.  3.  3.  3.  0.],[11.  4.  2.  2.  1.],[11.  4.  3.  1.  1.],[11.  4.  3.  2.  0.],[11.  4.  4.  1.  0.],[11.  5.  2.  1.  1.],[11.  5.  2.  2.  0.],[11.  5.  3.  1.  0.],[11.  5.  4.  0.  0.],[11.  6.  1.  1.  1.],[11.  6.  2.  1.  0.],[11.  6.  3.  0.  0.],[11.  7.  1.  1.  0.],[11.  7.  2.  0.  0.],[11.  8.  1.  0.  0.],[11.  9.  0.  0.  0.],[12.  2.  2.  2.  2.],[12.  3.  2.  2.  1.],[12.  3.  3.  1.  1.],[12.  3.  3.  2.  0.],[12.  4.  2.  1.  1.],[12.  4.  2.  2.  0.],[12.  4.  3.  1.  0.],[12.  4.  4.  0.  0.],[12.  5.  1.  1.  1.],[12.  5.  2.  1.  0.],[12.  5.  3.  0.  0.],[12.  6.  1.  1.  0.],[12.  6.  2.  0.  0.],[12.  7.  1.  0.  0.],[12.  8.  0.  0.  0.],[13.  2.  2.  2.  1.],[13.  3.  2.  1.  1.],[13.  3.  2.  2.  0.],[13.  3.  3.  1.  0.],[13.  4.  1.  1.  1.],[13.  4.  2.  1.  0.],[13.  4.  3.  0.  0.],[13.  5.  1.  1.  0.],[13.  5.  2.  0.  0.],[13.  6.  1.  0.  0.],[13.  7.  0.  0.  0.],[14.  2.  2.  1.  1.],[14.  2.  2.  2.  0.],[14.  3.  1.  1.  1.],[14.  3.  2.  1.  0.],[14.  3.  3.  0.  0.],[14.  4.  1.  1.  0.],[14.  4.  2.  0.  0.],[14.  5.  1.  0.  0.],[14.  6.  0.  0.  0.],[15.  2.  1.  1.  1.],[15.  2.  2.  1.  0.],[15.  3.  1.  1.  0.],[15.  3.  2.  0.  0.],[15.  4.  1.  0.  0.],[15.  5.  0.  0.  0.],[16.  1.  1.  1.  1.],[16.  2.  1.  1.  0.],[16.  2.  2.  0.  0.],[16.  3.  1.  0.  0.],[16.  4.  0.  0.  0.],[17.  1.  1.  1.  0.],[17.  2.  1.  0.  0.],[17.  3.  0.  0.  0.],[18.  1.  1.  0.  0.],[18.  2.  0.  0.  0.],[19.  1.  0.  0.  0.],[20.  0.  0.  0.  0.]
[13.  5.  1.  1.  0.],-1.0,-1.0,-1.0,-1.0,-1.0,-0.9,-0.6,-1.0,-1.0,-1.0,-1.0,-0.8,-1.0,-0.9,-0.55,-1.0,-1.0,-0.8,-0.5,-0.9,-0.65,-0.8,-0.75,-1.0,-1.0,-0.7,-1.0,-1.0,-0.8,-0.4,-0.9,-0.55,-1.0,-0.8,-0.8,-0.5,-0.7666666666666667,-0.65,-0.55,-1.0,-0.8,-0.5,-0.6,-0.5,-0.4166666666666667,-0.1,-1.0,-1.0,-1.0,-0.7,-0.25,-1.0,-0.8,-0.8,-0.4,-0.7333333333333333,-0.55,-1.0,-0.8,-0.5,-0.6,-0.5,-0.4166666666666667,-0.1,-0.8,-0.6,-0.5,-0.26666666666666666,0.03333333333333333,-0.6,-0.5,-0.26666666666666666,0.13333333333333333,-1.0,-1.0,-0.7,-0.7,-0.25,-1.0,-0.8,-0.4,-0.5666666666666667,-0.4,-0.2833333333333333,-0.8,-0.6,-0.5,-0.26666666666666666,0.03333333333333333,-0.6,-0.5,-0.26666666666666666,0.13333333333333333,-0.4,-0.26666666666666666,0.13333333333333333,0.0,0.13333333333333333,-1.0,-0.7,-1.0,-0.7,-0.25,-0.4,-0.25,-0.8,-0.5666666666666667,-0.4,-0.13333333333333333,0.16666666666666666,-0.6,-0.5,-0.26666666666666666,0.13333333333333333,-0.4,-0.26666666666666666,0.13333333333333333,0.0,0.13333333333333333,0.4,0.7,-1.0,-0.7,-0.25,-0.7,-0.4,-0.25,0.016666666666666666,-0.5666666666666667,-0.4,-0.13333333333333333,0.26666666666666666,-0.4,-0.26666666666666666,0.13333333333333333,0.0,0.13333333333333333,0.4,0.7,-1.0,-0.7,-0.4,-0.25,-0.4,-0.25,0.016666666666666666,0.36666666666666664,-0.3,-0.13333333333333333,0.26666666666666666,0.0,0.13333333333333333,0.4,0.7,-0.8,-0.5666666666666667,-0.4,-0.13333333333333333,-0.3,-0.13333333333333333,0.26666666666666666,0.0,0.13333333333333333,0.2833333333333333,0.7,-0.6,-0.5,-0.4,-0.26666666666666666,0.13333333333333333,-0.0,0.13333333333333333,0.2833333333333333,0.55,-0.4,-0.26666666666666666,-0.0,0.13333333333333333,0.4,0.7,-0.2,-0.0,0.13333333333333333,0.4,0.7,0.3,0.4,0.7,0.7333333333333333,0.7,1.0,1.0
[13.  5.  2.  0.  0.],-1.0,-1.0,-1.0,-0.9,-0.95,-0.75,-0.8,-1.0,-0.85,-1.0,-0.9,-0.75,-0.9,-0.8,-0.7,-0.9,-0.8,-0.8,-0.6,-0.8,-0.75,-0.8,-0.75,-1.0,-0.85,-0.7,-0.9,-0.8,-0.75,-0.55,-0.75,-0.7,-0.8,-0.8,-0.7,-0.6,-0.7,-0.6666666666666666,-0.6,-0.7,-0.7,-0.6,-0.6,-0.5,-0.5,-0.4,-1.0,-0.85,-0.7,-0.7,-0.4,-0.8,-0.75,-0.65,-0.55,-0.6,-0.5833333333333334,-0.7,-0.7,-0.6,-0.6,-0.5,-0.5,-0.4,-0.6,-0.6,-0.5,-0.36666666666666664,-0.26666666666666666,-0.5,-0.4,-0.36666666666666664,-0.13333333333333333,-0.85,-0.7,-0.7,-0.55,-0.4,-0.7,-0.65,-0.55,-0.5,-0.4166666666666667,-0.4,-0.6,-0.6,-0.5,-0.36666666666666664,-0.26666666666666666,-0.5,-0.4,-0.36666666666666664,-0.13333333333333333,-0.4,-0.26666666666666666,-0.13333333333333333,-0.13333333333333333,0.0,-0.7,-0.7,-0.55,-0.55,-0.4,-0.4,-0.25,-0.55,-0.5,-0.4166666666666667,-0.26666666666666666,-0.13333333333333333,-0.5,-0.4,-0.36666666666666664,-0.13333333333333333,-0.4,-0.26666666666666666,-0.13333333333333333,-0.13333333333333333,0.0,0.13333333333333333,0.4,-0.55,-0.55,-0.4,-0.4,-0.4,-0.25,-0.13333333333333333,-0.4,-0.2833333333333333,-0.26666666666666666,0.0,-0.4,-0.26666666666666666,-0.13333333333333333,-0.13333333333333333,0.0,0.13333333333333333,0.4,-0.4,-0.4,-0.4,-0.25,-0.25,-0.1,-0.13333333333333333,0.13333333333333333,-0.25,-0.13333333333333333,0.0,-0.13333333333333333,0.0,0.13333333333333333,0.4,-0.45,-0.4,-0.2833333333333333,-0.26666666666666666,-0.25,-0.13333333333333333,0.0,-0.13333333333333333,0.0,-0.0,0.3,-0.4,-0.3,-0.4,-0.26666666666666666,-0.13333333333333333,-0.13333333333333333,-0.0,-0.0,0.1,-0.3,-0.16666666666666666,-0.13333333333333333,-0.0,0.13333333333333333,0.3,-0.2,-0.03333333333333333,0.13333333333333333,0.13333333333333333,0.4,0.1,0.26666666666666666,0.4,0.4,0.6,0.7,1.0
[13.  6.  1.  0.  0.],-1.0,-1.0,-1.0,-1.0,-1.0,-0.8,-0.2,-1.0,-1.0,-1.0,-1.0,-0.85,-1.0,-0.85,-0.35,-1.0,-1.0,-0.9,-0.5,-0.9,-0.5,-0.9,-0.65,-1.0,-1.0,-0.85,-1.0,-1.0,-0.85,-0.4,-0.85,-0.4,-1.0,-0.9,-0.9,-0.55,-0.8,-0.55,-0.5833333333333334,-1.0,-0.9,-0.6,-0.8,-0.6,-0.5,-0.26666666666666666,-1.0,-1.0,-1.0,-0.85,-0.4,-1.0,-0.85,-0.85,-0.4,-0.7,-0.4,-1.0,-0.9,-0.55,-0.8,-0.55,-0.4166666666666667,-0.13333333333333333,-0.9,-0.8,-0.6,-0.5,-0.13333333333333333,-0.8,-0.6,-0.5,-0.13333333333333333,-1.0,-1.0,-0.85,-0.85,-0.4,-1.0,-0.85,-0.4,-0.7,-0.4,-0.25,-0.9,-0.8,-0.55,-0.4166666666666667,0.0,-0.8,-0.6,-0.5,-0.13333333333333333,-0.7,-0.5,-0.13333333333333333,-0.4,-0.13333333333333333,-1.0,-0.85,-1.0,-0.85,-0.4,-0.7,-0.4,-0.85,-0.7,-0.4,-0.25,0.13333333333333333,-0.8,-0.55,-0.4166666666666667,0.0,-0.7,-0.5,-0.13333333333333333,-0.4,-0.13333333333333333,0.0,0.4,-1.0,-0.85,-0.4,-0.85,-0.7,-0.4,-0.25,-0.7,-0.4,-0.25,0.13333333333333333,-0.7,-0.4166666666666667,0.0,-0.4,-0.13333333333333333,0.0,0.4,-1.0,-0.85,-0.7,-0.4,-0.7,-0.4,-0.25,0.13333333333333333,-0.55,-0.25,0.13333333333333333,-0.2833333333333333,0.0,0.0,0.4,-0.9,-0.8,-0.55,-0.4166666666666667,-0.7,-0.4166666666666667,0.0,-0.2833333333333333,0.0,0.0,0.3,-0.8,-0.6,-0.7,-0.5,-0.13333333333333333,-0.4,-0.13333333333333333,-0.0,0.3,-0.7,-0.5,-0.4,-0.13333333333333333,-0.0,0.4,-0.6,-0.4,-0.13333333333333333,-0.0,0.4,-0.3,-0.0,0.4,0.13333333333333333,0.4,0.6,1.0
[13.  7.  0.  0.  0.],-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.4,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.4,-1.0,-1.0,-1.0,-0.4,-1.0,-0.4,-1.0,-0.4,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.55,-1.0,-0.55,-1.0,-1.0,-1.0,-0.55,-1.0,-0.55,-0.55,-1.0,-1.0,-0.7,-1.0,-0.7,-0.7,-0.2,-1.0,-1.0,-1.0,-1.0,-0.55,-1.0,-1.0,-1.0,-0.55,-1.0,-0.55,-1.0,-1.0,-0.55,-1.0,-0.55,-0.55,-0.1,-1.0,-1.0,-0.7,-0.7,-0.3,-1.0,-0.7,-0.7,-0.4,-1.0,-1.0,-1.0,-1.0,-0.55,-1.0,-1.0,-0.55,-1.0,-0.55,-0.55,-1.0,-1.0,-0.55,-0.55,-0.1,-1.0,-0.7,-0.7,-0.3,-1.0,-0.7,-0.4,-0.7,-0.4,-1.0,-1.0,-1.0,-1.0,-0.55,-1.0,-0.55,-1.0,-1.0,-0.55,-0.55,-0.1,-1.0,-0.55,-0.55,-0.1,-1.0,-0.7,-0.3,-0.7,-0.4,-0.4,0.0,-1.0,-1.0,-0.55,-1.0,-1.0,-0.55,-0.55,-1.0,-0.55,-0.55,-0.1,-1.0,-0.55,-0.1,-0.7,-0.3,-0.4,0.0,-1.0,-1.0,-1.0,-0.55,-1.0,-0.55,-0.55,-0.1,-1.0,-0.55,-0.1,-0.55,-0.1,-0.3,0.0,-1.0,-1.0,-0.7,-0.7,-1.0,-0.7,-0.3,-0.7,-0.3,-0.3,0.0,-1.0,-0.7,-1.0,-0.7,-0.4,-0.7,-0.4,-0.4,-0.0,-1.0,-0.7,-0.7,-0.4,-0.4,-0.0,-1.0,-0.7,-0.4,-0.4,-0.0,-0.7,-0.4,-0.0,-0.4,-0.0,-0.0,0.6
[14.  2.  2.  1.  1.],-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.9,-1.0,-0.4,-0.7,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.9,-1.0,-1.0,-1.0,-0.9,-1.0,-0.4,-0.7,-0.1,-1.0,-0.9,-1.0,-0.4,-0.7,-0.1,0.2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.9,-1.0,-0.4,-0.7,-1.0,-0.9,-1.0,-0.4,-0.7,-0.1,0.2,-0.7333333333333333,-0.4,-0.7,-0.1,0.2,-0.13333333333333333,-0.4,-0.1,0.2,-1.0,-1.0,-1.0,-0.9,-1.0,-1.0,-0.9,-1.0,-0.4,-0.7,-0.1,-0.7333333333333333,-0.4,-0.7,-0.1,0.2,-0.13333333333333333,-0.4,-0.1,0.2,0.4,0.16666666666666666,0.2,0.6,0.4,-1.0,-1.0,-1.0,-0.9,-1.0,-0.4,-0.7,-0.7333333333333333,-0.4,-0.7,-0.1,0.2,-0.13333333333333333,-0.4,-0.1,0.2,0.4,0.16666666666666666,0.2,0.6,0.4,0.8,1.0,-1.0,-0.9,-1.0,-0.7333333333333333,-0.4,-0.7,-0.1,-0.13333333333333333,-0.4,-0.1,0.2,0.4,0.16666666666666666,0.2,0.6,0.4,0.8,1.0,-1.0,-0.7333333333333333,-0.4,-0.7,-0.13333333333333333,-0.4,-0.1,0.2,0.4,0.16666666666666666,0.2,0.6,0.4,0.8,1.0,-0.5,-0.13333333333333333,-0.4,-0.1,0.4,0.16666666666666666,0.2,0.6,0.4,0.8,1.0,0.0,-0.3,0.3,-0.0,-0.0,0.5666666666666667,0.3,0.8,1.0,0.5,0.13333333333333333,0.4,0.1,0.7,1.0,1.0,0.7333333333333333,0.4,0.7,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0
[14.  2.  2.  2.  0.],-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.7,-1.0,-0.4,-0.7,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.7,-1.0,-1.0,-1.0,-0.7,-1.0,-0.4,-0.7,-0.25,-0.9,-0.7,-1.0,-0.4,-0.7,-0.25,-0.1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.7,-1.0,-0.4,-0.7,-0.9,-0.7,-1.0,-0.4,-0.7,-0.25,-0.1,-0.4,-0.4,-0.7,-0.25,-0.1,0.0,-0.3,-0.25,-0.1,-1.0,-1.0,-1.0,-0.7,-1.0,-0.9,-0.7,-1.0,-0.4,-0.7,-0.25,-0.4,-0.4,-0.7,-0.25,-0.1,0.0,-0.3,-0.25,-0.1,0.4,0.15,-0.1,0.5,0.3,-1.0,-1.0,-0.9,-0.7,-1.0,-0.4,-0.7,-0.4,-0.4,-0.7,-0.25,-0.1,0.0,-0.3,-0.25,-0.1,0.4,0.15,-0.1,0.5,0.3,0.6,0.7,-0.9,-0.7,-1.0,-0.4,-0.4,-0.7,-0.25,0.0,-0.3,-0.25,-0.1,0.4,0.15,-0.1,0.5,0.3,0.6,0.7,-0.6,-0.4,-0.4,-0.7,0.0,-0.3,-0.25,-0.1,0.4,0.15,-0.1,0.5,0.3,0.6,0.7,0.0,0.0,-0.3,-0.25,0.4,0.15,-0.1,0.5,0.3,0.6,0.7,0.3,0.0,0.25,-0.0,-0.3,0.4,0.15,0.55,0.7,0.55,0.3,0.25,-0.05,0.4,0.55,1.0,0.7,0.5,0.4,0.55,1.0,0.85,0.55,1.0,1.0,1.0,1.0
[14.  3.  1.  1.  1.],-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.85,-0.85,-0.7,-0.7,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.85,-0.85,-1.0,-1.0,-0.85,-0.85,-0.7,-0.7,-0.25,-1.0,-0.85,-0.7,-0.7,-0.7,-0.25,0.2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.85,-0.85,-0.7,-0.7,-1.0,-0.85,-0.7,-0.7,-0.7,-0.25,0.2,-0.7,-0.6,-0.55,-0.25,0.2,-0.4,-0.4,-0.1,0.2,-1.0,-1.0,-1.0,-0.85,-0.85,-1.0,-0.85,-0.7,-0.7,-0.7,-0.25,-0.7,-0.6,-0.55,-0.25,0.2,-0.4,-0.4,-0.1,0.2,0.0,0.0,0.3,0.4,0.4,-1.0,-1.0,-1.0,-0.85,-0.7,-0.7,-0.7,-0.7,-0.6,-0.55,-0.25,0.2,-0.4,-0.4,-0.1,0.2,0.0,0.0,0.3,0.4,0.4,0.7,1.0,-1.0,-0.85,-0.55,-0.7,-0.6,-0.55,-0.25,-0.4,-0.4,-0.1,0.2,0.0,0.0,0.3,0.4,0.4,0.7,1.0,-1.0,-0.7,-0.5,-0.4,-0.4,-0.4,-0.1,0.2,0.0,0.0,0.3,0.4,0.4,0.7,1.0,-0.55,-0.3,-0.25,0.05,0.0,0.0,0.3,0.4,0.4,0.7,1.0,-0.3,-0.25,0.0,-0.0,0.3,0.3,0.25,0.7,1.0,-0.0,-0.0,0.3,0.25,0.55,1.0,0.6,0.4,0.4,0.7,1.0,0.9,0.7,1.0,1.0,1.0,1.0,1.0
[14.  3.  2.  1.  0.],-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.9,-0.95,-1.0,-1.0,-0.9,-0.95,-1.0,-0.8,-0.9,-0.6,-0.65,-1.0,-1.0,-1.0,-1.0,-0.9,-0.95,-1.0,-0.8,-0.9,-0.9,-0.9,-0.8,-0.9,-0.6,-0.65,-0.4,-0.7,-0.7333333333333333,-0.8,-0.6,-0.65,-0.4,-0.1,-1.0,-1.0,-0.9,-0.95,-1.0,-0.9,-0.9,-0.8,-0.9,-0.6,-0.65,-0.7,-0.7333333333333333,-0.8,-0.6,-0.65,-0.4,-0.1,-0.5,-0.5,-0.5333333333333333,-0.4,-0.1,-0.26666666666666666,-0.26666666666666666,-0.26666666666666666,-0.1,-1.0,-0.9,-0.9,-0.8,-0.9,-0.7,-0.7333333333333333,-0.8,-0.6,-0.65,-0.4,-0.5,-0.5,-0.5333333333333333,-0.4,-0.1,-0.26666666666666666,-0.26666666666666666,-0.26666666666666666,-0.1,0.0,0.0,0.03333333333333333,0.26666666666666666,0.26666666666666666,-0.9,-0.85,-0.7,-0.7333333333333333,-0.8,-0.6,-0.65,-0.5,-0.5,-0.5333333333333333,-0.4,-0.1,-0.26666666666666666,-0.26666666666666666,-0.26666666666666666,-0.1,0.0,0.0,0.03333333333333333,0.26666666666666666,0.26666666666666666,0.5,0.7,-0.7,-0.6666666666666666,-0.7,-0.5,-0.5,-0.5333333333333333,-0.4,-0.26666666666666666,-0.26666666666666666,-0.26666666666666666,-0.1,0.0,0.0,0.03333333333333333,0.26666666666666666,0.26666666666666666,0.5,0.7,-0.4,-0.4166666666666667,-0.4,-0.4166666666666667,-0.26666666666666666,-0.26666666666666666,-0.26666666666666666,-0.1,0.0,0.0,0.03333333333333333,0.26666666666666666,0.26666666666666666,0.5,0.7,-0.1,-0.13333333333333333,-0.13333333333333333,-0.13333333333333333,0.0,0.0,0.03333333333333333,0.26666666666666666,0.26666666666666666,0.5,0.7,0.0,0.0,0.0,0.0,-0.0,0.13333333333333333,0.13333333333333333,0.4166666666666667,0.7,0.1,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.25,0.55,0.4,0.4166666666666667,0.4,0.4166666666666667,0.55,0.7,0.6666666666666666,0.7,0.9,0.85,1.0,1.0
[14.  3.  3.  0.  0.],-1.0,-1.0,-1.0,-1.0,-0.9,-1.0,-1.0,-1.0,-1.0,-1.0,-0.9,-1.0,-0.8,-0.9,-1.0,-0.8,-0.8,-0.9,-1.0,-0.8,-0.9,-0.8,-0.6,-1.0,-0.9,-1.0,-0.8,-0.8,-0.9,-1.0,-0.8,-0.9,-0.6,-0.8,-0.8,-0.9,-0.8,-0.6,-0.6,-0.4,-0.6,-0.7333333333333333,-0.8,-0.6,-0.6,-0.4,-1.0,-0.8,-0.8,-0.9,-1.0,-0.6,-0.8,-0.8,-0.9,-0.8,-0.6,-0.4,-0.6,-0.7333333333333333,-0.8,-0.6,-0.6,-0.4,-0.4,-0.6,-0.4,-0.6,-0.4,-0.4,-0.13333333333333333,-0.4,-0.4,-0.7,-0.6,-0.8,-0.8,-0.9,-0.4,-0.6,-0.7333333333333333,-0.8,-0.6,-0.6,-0.4,-0.6,-0.4,-0.6,-0.4,-0.4,-0.13333333333333333,-0.4,-0.4,-0.4,-0.13333333333333333,-0.13333333333333333,-0.13333333333333333,0.13333333333333333,-0.4,-0.7,-0.4,-0.6,-0.7333333333333333,-0.8,-0.6,-0.4,-0.6,-0.4,-0.6,-0.4,-0.4,-0.13333333333333333,-0.4,-0.4,-0.4,-0.13333333333333333,-0.13333333333333333,-0.13333333333333333,0.13333333333333333,0.13333333333333333,0.4,-0.1,-0.4,-0.5,-0.4,-0.6,-0.4,-0.6,-0.4,-0.13333333333333333,-0.4,-0.4,-0.4,-0.13333333333333333,-0.13333333333333333,-0.13333333333333333,0.13333333333333333,0.13333333333333333,0.4,0.2,-0.1,-0.4,-0.13333333333333333,-0.4,-0.13333333333333333,-0.4,-0.4,-0.4,-0.13333333333333333,-0.13333333333333333,-0.13333333333333333,0.13333333333333333,0.13333333333333333,0.4,0.2,-0.1,0.16666666666666666,-0.13333333333333333,-0.4,-0.13333333333333333,-0.13333333333333333,-0.13333333333333333,0.13333333333333333,0.13333333333333333,0.4,0.0,0.3,-0.3,0.0,0.0,-0.26666666666666666,-0.0,-0.0,0.3,-0.2,0.1,-0.16666666666666666,0.13333333333333333,-0.13333333333333333,0.1,-0.2,0.1,0.4,0.13333333333333333,0.1,0.1,0.4,0.5,0.4,0.7,0.7,1.0
[14.  4.  1.  1.  0.],-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.9,-0.9,-1.0,-1.0,-0.9,-0.8,-0.9,-0.75,-0.8,-0.75,-1.0,-1.0,-1.0,-1.0,-1.0,-0.9,-0.8,-0.9,-0.75,-1.0,-0.8,-0.9,-0.65,-0.8,-0.75,-0.55,-1.0,-0.8,-0.5,-0.7666666666666667,-0.65,-0.55,-0.1,-1.0,-1.0,-1.0,-0.9,-0.7,-1.0,-0.8,-0.9,-0.65,-0.8,-0.75,-1.0,-0.8,-0.5,-0.7666666666666667,-0.65,-0.55,-0.1,-0.8,-0.6,-0.5,-0.4166666666666667,-0.1,-0.6,-0.5,-0.26666666666666666,0.03333333333333333,-1.0,-1.0,-0.8,-0.9,-0.55,-1.0,-0.8,-0.5,-0.7666666666666667,-0.65,-0.55,-0.8,-0.6,-0.5,-0.4166666666666667,-0.1,-0.6,-0.5,-0.26666666666666666,0.03333333333333333,-0.4,-0.26666666666666666,0.13333333333333333,0.0,0.13333333333333333,-1.0,-0.7,-1.0,-0.8,-0.4,-0.7333333333333333,-0.55,-0.8,-0.6,-0.5,-0.4166666666666667,-0.1,-0.6,-0.5,-0.26666666666666666,0.03333333333333333,-0.4,-0.26666666666666666,0.13333333333333333,0.0,0.13333333333333333,0.4,0.7,-1.0,-0.7,-0.25,-0.8,-0.5666666666666667,-0.4,-0.2833333333333333,-0.6,-0.5,-0.26666666666666666,0.03333333333333333,-0.4,-0.26666666666666666,0.13333333333333333,0.0,0.13333333333333333,0.4,0.7,-1.0,-0.7,-0.4,-0.25,-0.5666666666666667,-0.4,-0.13333333333333333,0.16666666666666666,-0.4,-0.26666666666666666,0.13333333333333333,0.0,0.13333333333333333,0.4,0.7,-0.7,-0.4,-0.25,0.016666666666666666,-0.3,-0.13333333333333333,0.26666666666666666,0.0,0.13333333333333333,0.4,0.7,-0.5666666666666667,-0.4,-0.3,-0.13333333333333333,0.26666666666666666,0.0,0.13333333333333333,0.2833333333333333,0.7,-0.4,-0.26666666666666666,-0.0,0.13333333333333333,0.2833333333333333,0.55,-0.2,-0.0,0.13333333333333333,0.4,0.7,0.3,0.4,0.7,0.7333333333333333,0.7,1.0,1.0
